tacticam,broadcast
tacticam_frame0_person0.jpg,broadcast_frame40_person2.jpg
tacticam_frame0_person1.jpg,broadcast_frame52_person0.jpg
tacticam_frame0_person10.jpg,broadcast_frame103_person3.jpg
tacticam_frame0_person11.jpg,broadcast_frame9_person6.jpg
tacticam_frame0_person12.jpg,broadcast_frame71_person7.jpg
tacticam_frame0_person13.jpg,broadcast_frame33_person4.jpg
tacticam_frame0_person14.jpg,broadcast_frame25_person15.jpg
tacticam_frame0_person15.jpg,broadcast_frame37_person2.jpg
tacticam_frame0_person16.jpg,broadcast_frame44_person3.jpg
tacticam_frame0_person17.jpg,broadcast_frame11_person3.jpg
tacticam_frame0_person18.jpg,broadcast_frame103_person3.jpg
tacticam_frame0_person19.jpg,broadcast_frame55_person6.jpg
tacticam_frame0_person2.jpg,broadcast_frame28_person1.jpg
tacticam_frame0_person20.jpg,broadcast_frame34_person9.jpg
tacticam_frame0_person21.jpg,broadcast_frame13_person10.jpg
tacticam_frame0_person22.jpg,broadcast_frame41_person13.jpg
tacticam_frame0_person3.jpg,broadcast_frame47_person3.jpg
tacticam_frame0_person4.jpg,broadcast_frame70_person5.jpg
tacticam_frame0_person5.jpg,broadcast_frame34_person9.jpg
tacticam_frame0_person6.jpg,broadcast_frame70_person0.jpg
tacticam_frame0_person7.jpg,broadcast_frame80_person3.jpg
tacticam_frame0_person8.jpg,broadcast_frame19_person8.jpg
tacticam_frame0_person9.jpg,broadcast_frame54_person2.jpg
tacticam_frame100_person0.jpg,broadcast_frame79_person9.jpg
tacticam_frame100_person1.jpg,broadcast_frame33_person4.jpg
tacticam_frame100_person10.jpg,broadcast_frame45_person7.jpg
tacticam_frame100_person11.jpg,broadcast_frame37_person8.jpg
tacticam_frame100_person12.jpg,broadcast_frame52_person5.jpg
tacticam_frame100_person13.jpg,broadcast_frame36_person9.jpg
tacticam_frame100_person14.jpg,broadcast_frame61_person9.jpg
tacticam_frame100_person15.jpg,broadcast_frame92_person4.jpg
tacticam_frame100_person16.jpg,broadcast_frame9_person14.jpg
tacticam_frame100_person17.jpg,broadcast_frame64_person9.jpg
tacticam_frame100_person18.jpg,broadcast_frame41_person8.jpg
tacticam_frame100_person19.jpg,broadcast_frame24_person12.jpg
tacticam_frame100_person2.jpg,broadcast_frame105_person0.jpg
tacticam_frame100_person20.jpg,broadcast_frame9_person14.jpg
tacticam_frame100_person21.jpg,broadcast_frame37_person12.jpg
tacticam_frame100_person3.jpg,broadcast_frame43_person0.jpg
tacticam_frame100_person4.jpg,broadcast_frame26_person8.jpg
tacticam_frame100_person5.jpg,broadcast_frame117_person5.jpg
tacticam_frame100_person6.jpg,broadcast_frame54_person2.jpg
tacticam_frame100_person7.jpg,broadcast_frame11_person7.jpg
tacticam_frame100_person8.jpg,broadcast_frame89_person0.jpg
tacticam_frame100_person9.jpg,broadcast_frame37_person6.jpg
